Population	SampSize	Pcrit	WeightedMean	IndAlleles	r^2	Exp(r^2)	Ne	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	(Eff.df)
Mo	264	0.05	263.5	1728	0.0036	0.003841	-2766.4	58508.6	  Infinite	2963.7	  Infinite	551
Mo	264	0.04	263.6	2411	0.003699	0.00384	-4737.6	8628.2	  Infinite	4406.9	  Infinite	1383
Mo	264	0.03	263.6	3799	0.003779	0.00384	-11008	5779.3	  Infinite	3488.2	  Infinite	1911
Mo	264	0.02	263.5	5429	0.003785	0.00384	-12105.4	7287.5	  Infinite	4065.1	  Infinite	2499
Mo	264	 No S*	263.4	19713	0.003853	0.003842	62560.9	7584.9	  Infinite	4008.7	  Infinite	5004
Tahaa	36	0.05	35.8	2011	0.032016	0.030445	421.7	180.1	  Infinite	139.9	  Infinite	941
Tahaa	36	0.04	35.7	3169	0.032078	0.030492	417.6	203.9	10485.3	169.4	  Infinite	1679
Tahaa	36	0.03	35.7	3169	0.032078	0.030492	417.6	203.9	10485.3	174.2	  Infinite	1836
Tahaa	36	0.02	35.7	5185	0.031334	0.030466	765.1	313.2	  Infinite	257.1	  Infinite	2833
Tahaa	36	 No S*	35.7	5185	0.031334	0.030466	765.1	313.2	  Infinite	257.1	  Infinite	2833
Tem	64	0.05	63.1	1722	0.01621	0.016628	-1597.7	921	  Infinite	550.5	  Infinite	885
Tem	65	0.04	63.2	2279	0.016379	0.016605	-2952.5	865.1	  Infinite	517.5	  Infinite	1036
Tem	66	0.03	63.4	4300	0.016249	0.016553	-2200.8	1639.1	  Infinite	1020.7	  Infinite	2426
Tem	67	0.02	63.3	5772	0.016012	0.016563	-1212.6	13430	  Infinite	6930.9	  Infinite	4993
Tem	68	 No S*	63.4	9334	0.016262	0.01655	-2317.7	3527	  Infinite	1484.4	  Infinite	4007
Puna	25	0.05	25	1676	0.046326	0.045184	538.9	136.8	  Infinite	117.4	  Infinite	1153
Puna	25	0.04	25	3708	0.045281	0.045184	6365.7	274.9	  Infinite	260.7	  Infinite	3336
Puna	25	0.03	25	3708	0.045281	0.045184	6365.7	274.9	  Infinite	260.7	  Infinite	3336
Puna	25	0.02	25	8730	0.045322	0.045184	4485.8	406.4	  Infinite	409.4	  Infinite	8872
Puna	25	 No S*	25	3708	0.045281	0.045184	6365.7	274.9	  Infinite	260.7	  Infinite	3336
Tetia	52	0.05	51.4	1591	0.020253	0.02063	-1773.8	598.9	  Infinite	403.6	  Infinite	894
Tetia	52	0.04	51.3	1985	0.019903	0.020677	-863.9	1268.1	  Infinite	713.3	  Infinite	1185
Tetia	52	0.03	51.3	3223	0.020284	0.02068	-1686.7	1051.9	  Infinite	565.9	  Infinite	1438
Tetia	52	0.02	51.2	5189	0.0205	0.020708	-3195.9	1102	  Infinite	677.5	  Infinite	2487
Tetia	52	 No S*	51.4	7305	0.020344	0.02062	-2419.1	1662.4	  Infinite	1062.1	  Infinite	4173
