Output from NeEstimator v2.1
Starting time: Mon Mar 14 17:33:22 2022
Input File: "Daruanus_All_8locus.gen"

Number of Loci = 8


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Monogamy

Lowest allele frequencies used:     0.0500    0.0400    0.0300    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
1:Go_Go1           	     55  	0.0500	      55.0   	       764  	 0.018907	  0.019236	  -2025.4	     385.0	  Infinite	     138.4	  Infinite	       154
                   	         	0.0400	      55.0   	      1464  	 0.018537	  0.019236	   -955.5	     923.2	  Infinite	     472.9	  Infinite	       703
                   	         	0.0300	      55.0   	      2319  	 0.018610	  0.019236	  -1067.2	    1349.1	  Infinite	     928.1	  Infinite	      1640
                   	         	0.0200	      55.0   	      4331  	 0.018751	  0.019236	  -1377.4	    2013.9	  Infinite	    1282.0	  Infinite	      2900
                   	         	0.0100	      55.0   	      7971  	 0.018956	  0.019236	  -2384.4	    2063.4	  Infinite	    1306.5	  Infinite	      4715
2:Hie_Hie2         	     47  	0.0500	      47.0   	      1042  	 0.022767	  0.022721	  14266.7	     309.4	  Infinite	     164.6	  Infinite	       327
                   	         	0.0400	      47.0   	      1897  	 0.022263	  0.022721	  -1460.3	     644.3	  Infinite	     330.7	  Infinite	       739
                   	         	0.0300	      47.0   	      3438  	 0.022913	  0.022721	   3469.0	     504.3	  Infinite	     415.0	  Infinite	      2238
                   	         	0.0200	      47.0   	      7358  	 0.022882	  0.022721	   4137.0	     722.9	  Infinite	     606.1	  Infinite	      4898
                   	         	0.0100	      47.0   	     12945  	 0.023346	  0.022721	   1062.9	     550.5	    9924.5	     506.2	  Infinite	      9337
3:Lar_Lar1         	     51  	0.0500	      51.0   	       629  	 0.021303	  0.020834	   1419.4	     217.0	  Infinite	     193.0	  Infinite	       491
                   	         	0.0400	      51.0   	      1047  	 0.020536	  0.020834	  -2240.8	     418.8	  Infinite	     318.6	  Infinite	       679
                   	         	0.0300	      51.0   	      2066  	 0.021209	  0.020834	   1775.8	     382.6	  Infinite	     309.5	  Infinite	      1258
                   	         	0.0200	      51.0   	      3484  	 0.020885	  0.020834	  13190.4	     622.0	  Infinite	     480.6	  Infinite	      2083
                   	         	0.0100	      51.0   	      7189  	 0.020414	  0.020834	  -1588.6	    2524.5	  Infinite	    1374.3	  Infinite	      4178
4:Lion_Lion1       	     49  	0.0500	      49.0   	      1073  	 0.021295	  0.021737	  -1511.1	     447.3	  Infinite	     235.5	  Infinite	       411
                   	         	0.0400	      49.0   	      2247  	 0.021697	  0.021737	 -16969.4	     515.1	  Infinite	     360.1	  Infinite	      1164
                   	         	0.0300	      49.0   	      3271  	 0.021370	  0.021737	  -1819.2	     939.3	  Infinite	     697.5	  Infinite	      2207
                   	         	0.0200	      49.0   	      6502  	 0.021510	  0.021737	  -2941.3	    1250.1	  Infinite	     954.9	  Infinite	      4445
                   	         	0.0100	      49.0   	     12591  	 0.021426	  0.021737	  -2150.8	    2909.2	  Infinite	    1500.1	  Infinite	      6537
5:Lolo_Lolo1       	      9  	0.0500	       9.0   	      2050  	 0.147135	  0.157393	    -62.3	  Infinite	  Infinite	  Infinite	  Infinite	      3168
                   	         	0.0400	       9.0   	      2050  	 0.147135	  0.157393	    -62.3	  Infinite	  Infinite	  Infinite	  Infinite	      3168
                   	         	0.0300	       9.0   	      2050  	 0.147135	  0.157393	    -62.3	  Infinite	  Infinite	  Infinite	  Infinite	      3168
                   	         	0.0200	       9.0   	      2050  	 0.147135	  0.157393	    -62.3	  Infinite	  Infinite	  Infinite	  Infinite	      3168
                   	         	0.0100	       9.0   	      2050  	 0.147135	  0.157393	    -62.3	  Infinite	  Infinite	  Infinite	  Infinite	      3168
6:Manu_Manu1       	     14  	0.0500	      14.0   	      1005  	 0.089004	  0.089239	  -2636.6	      74.2	  Infinite	      63.4	  Infinite	       763
                   	         	0.0400	      14.0   	      1005  	 0.089004	  0.089239	  -2636.6	      74.2	  Infinite	      63.4	  Infinite	       763
                   	         	0.0300	      14.0   	      3719  	 0.084788	  0.089239	   -141.0	  Infinite	  Infinite	  Infinite	  Infinite	     21460
                   	         	0.0200	      14.0   	      3719  	 0.084788	  0.089239	   -141.0	  Infinite	  Infinite	  Infinite	  Infinite	     21460
                   	         	0.0100	      14.0   	      3719  	 0.084788	  0.089239	   -141.0	  Infinite	  Infinite	  Infinite	  Infinite	     21460
7:Mara_Mara1       	     52  	0.0500	      52.0   	       883  	 0.019662	  0.020411	   -893.3	     542.6	  Infinite	     216.5	  Infinite	       270
                   	         	0.0400	      52.0   	      1365  	 0.020635	  0.020411	   2971.1	     354.9	  Infinite	     175.0	  Infinite	       334
                   	         	0.0300	      52.0   	      2382  	 0.020750	  0.020411	   1960.7	     421.8	  Infinite	     272.2	  Infinite	       879
                   	         	0.0200	      52.0   	      4081  	 0.020336	  0.020411	  -8977.0	     793.1	  Infinite	     553.8	  Infinite	      2151
                   	         	0.0100	      52.0   	      7152  	 0.020607	  0.020411	   3393.9	     747.4	  Infinite	     500.4	  Infinite	      2775
8:Mata_Mata1       	     48  	0.0500	      48.0   	       802  	 0.020916	  0.022218	   -514.8	     732.8	  Infinite	     265.2	  Infinite	       301
                   	         	0.0400	      48.0   	      1213  	 0.021841	  0.022218	  -1772.9	     450.3	  Infinite	     270.9	  Infinite	       556
                   	         	0.0300	      48.0   	      2161  	 0.022007	  0.022218	  -3167.5	     570.6	  Infinite	     372.0	  Infinite	      1071
                   	         	0.0200	      48.0   	      4191  	 0.021966	  0.022218	  -2652.5	     923.0	  Infinite	     634.0	  Infinite	      2397
                   	         	0.0100	      48.0   	      7980  	 0.022222	  0.022218	 165189.4	     936.2	  Infinite	     531.3	  Infinite	      2660
9:MBO_MBO1         	     50  	0.0500	      50.0   	      1225  	 0.021775	  0.021276	   1332.8	     283.1	  Infinite	     156.6	  Infinite	       340
