Population	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	Eff.df
Go_Go1           	55	0.05	55	764	0.018907	0.019236	-2025.4	385	  Infinite	138.4	  Infinite	154
Go_Go2	         	0.04	55	1464	0.018537	0.019236	-955.5	923.2	  Infinite	472.9	  Infinite	703
Go_Go3	         	0.03	55	2319	0.01861	0.019236	-1067.2	1349.1	  Infinite	928.1	  Infinite	1640
Go_Go4	         	0.02	55	4331	0.018751	0.019236	-1377.4	2013.9	  Infinite	1282	  Infinite	2900
Go_Go5	         	 No S*	55	7971	0.018956	0.019236	-2384.4	2063.4	  Infinite	1306.5	  Infinite	4715
Hie_Hie2         	47	0.05	47	1042	0.022767	0.022721	14266.7	309.4	  Infinite	164.6	  Infinite	327
Hie_Hie3	         	0.04	47	1897	0.022263	0.022721	-1460.3	644.3	  Infinite	330.7	  Infinite	739
Hie_Hie4	         	0.03	47	3438	0.022913	0.022721	3469	504.3	  Infinite	415	  Infinite	2238
Hie_Hie5	         	0.02	47	7358	0.022882	0.022721	4137	722.9	  Infinite	606.1	  Infinite	4898
Hie_Hie6	         	 No S*	47	7358	0.022882	0.022721	4137	722.9	  Infinite	606.1	  Infinite	4898
Lar_Lar1         	51	0.05	51	629	0.021303	0.020834	1419.4	217	  Infinite	193	  Infinite	491
Lar_Lar2	         	0.04	51	1047	0.020536	0.020834	-2240.8	418.8	  Infinite	318.6	  Infinite	679
Lar_Lar3	         	0.03	51	2066	0.021209	0.020834	1775.8	382.6	  Infinite	309.5	  Infinite	1258
Lar_Lar4	         	0.02	51	3484	0.020885	0.020834	13190.4	622	  Infinite	480.6	  Infinite	2083
Lar_Lar5	         	 No S*	51	7189	0.020414	0.020834	-1588.6	2524.5	  Infinite	1264.2	  Infinite	3826
Lion_Lion1       	49	0.05	49	1073	0.021295	0.021737	-1511.1	447.3	  Infinite	235.5	  Infinite	411
Lion_Lion2	         	0.04	49	2247	0.021697	0.021737	-16969.4	515.1	  Infinite	360.1	  Infinite	1164
Lion_Lion3	         	0.03	49	3271	0.02137	0.021737	-1819.2	939.3	  Infinite	697.5	  Infinite	2207
Lion_Lion4	         	0.02	49	6502	0.02151	0.021737	-2941.3	1250.1	  Infinite	954.9	  Infinite	4445
Lion_Lion5	         	 No S*	49	6502	0.02151	0.021737	-2941.3	1250.1	  Infinite	954.9	  Infinite	4445
Lolo_Lolo1       	9	0.05	9	2050	0.147135	0.157393	-62.3	  Infinite	  Infinite	  Infinite	  Infinite	3168
Lolo_Lolo2	         	0.04	9	2050	0.147135	0.157393	-62.3	  Infinite	  Infinite	  Infinite	  Infinite	3168
Lolo_Lolo3	         	0.03	9	2050	0.147135	0.157393	-62.3	  Infinite	  Infinite	  Infinite	  Infinite	3168
Lolo_Lolo4	         	0.02	9	2050	0.147135	0.157393	-62.3	  Infinite	  Infinite	  Infinite	  Infinite	3168
Lolo_Lolo5	         	 No S*	9	503	0.154376	0.157393	-206.9	32.1	  Infinite	31.1	  Infinite	481
Manu_Manu1       	14	0.05	14	1005	0.089004	0.089239	-2636.6	74.2	  Infinite	63.4	  Infinite	763
Manu_Manu2	         	0.04	14	1005	0.089004	0.089239	-2636.6	74.2	  Infinite	63.4	  Infinite	763
Manu_Manu3	         	0.03	14	3719	0.084788	0.089239	-141	  Infinite	  Infinite	  Infinite	  Infinite	21460
Manu_Manu4	         	0.02	14	3719	0.084788	0.089239	-141	  Infinite	  Infinite	  Infinite	  Infinite	21460
Manu_Manu5	         	 No S*	14	1005	0.089004	0.089239	-2636.6	74.2	  Infinite	63.4	  Infinite	763
Mara_Mara1       	52	0.05	52	883	0.019662	0.020411	-893.3	542.6	  Infinite	216.5	  Infinite	270
Mara_Mara2	         	0.04	52	1365	0.020635	0.020411	2971.1	354.9	  Infinite	175	  Infinite	334
