Sample, Locality
Lion_Lion1,Lion Island
Lion_Lion2,Lion Island
Lion_Lion3,Lion Island
Lion_Lion4,Lion Island
Lion_Lion5,Lion Island
Lion_Lion6,Lion Island
Lion_Lion7,Lion Island
Lion_Lion8,Lion Island
Lion_Lion9,Lion Island
Lion_Lion10,Lion Island
Lion_Lion11,Lion Island
Lion_Lion13,Lion Island
Lion_Lion14,Lion Island
Lion_Lion15,Lion Island
Lion_Lion16,Lion Island
Lion_Lion17,Lion Island
Lion_Lion18,Lion Island
Lion_Lion19,Lion Island
Lion_Lion20,Lion Island
Lion_Lion21,Lion Island
Lion_Lion22,Lion Island
Lion_Lion23,Lion Island
Lion_Lion24,Lion Island
Lion_Lion25,Lion Island
Lion_Lion26,Lion Island
Lion_Lion27,Lion Island
Lion_Lion28,Lion Island
Lion_Lion29,Lion Island
Lion_Lion30,Lion Island
Lion_Lion31,Lion Island
Lion_Lion32,Lion Island
Lion_Lion33,Lion Island
Lion_Lion34,Lion Island
Lion_Lion36,Lion Island
Lion_Lion38,Lion Island
Lion_Lion39,Lion Island
Lion_Lion40,Lion Island
Lion_Lion41,Lion Island
Lion_Lion42,Lion Island
Lion_Lion43,Lion Island
Lion_Lion44,Lion Island
Lion_Lion45,Lion Island
Lion_Lion46,Lion Island
Lion_Lion47,Lion Island
Lion_Lion48,Lion Island
Lion_Lion49,Lion Island
Lion_Lion50,Lion Island
Lion_Lion51,Lion Island
Lion_Lion52,Lion Island
Lolo_Lolo1,Loloata Island
Lolo_Lolo2,Loloata Island
Lolo_Lolo3,Loloata Island
Lolo_Lolo4,Loloata Island
Lolo_Lolo5,Loloata Island
Lolo_Lolo6,Loloata Island
Lolo_Lolo7,Loloata Island
Lolo_Lolo8,Loloata Island
Lolo_Lolo9,Loloata Island
Manu_Manu1,Manubada
Manu_Manu2,Manubada
Manu_Manu3,Manubada
Manu_Manu4,Manubada
Manu_Manu5,Manubada
Manu_Manu6,Manubada
Manu_Manu7,Manubada
Manu_Manu8,Manubada
Manu_Manu9,Manubada
Manu_Manu10,Manubada
Manu_Manu11,Manubada
Manu_Manu13,Manubada
Manu_Manu14,Manubada
Manu_Manu15,Manubada
Go_Go1,Goelands
Go_Go2,Goelands
Go_Go3,Goelands
Go_Go4,Goelands
Go_Go5,Goelands
Go_Go6,Goelands
Go_Go7,Goelands
Go_Go8,Goelands
Go_Go9,Goelands
Go_Go10,Goelands
Go_Go11,Goelands
Go_Go12,Goelands
Go_Go13,Goelands
Go_Go14,Goelands
Go_Go15,Goelands
Go_Go16,Goelands
Go_Go17,Goelands
Go_Go18,Goelands
Go_Go19,Goelands
Go_Go20,Goelands
Go_Go21,Goelands
Go_Go22,Goelands
Go_Go23,Goelands
Go_Go24,Goelands
Go_Go25,Goelands
Go_Go27,Goelands
Go_Go28,Goelands
Go_Go29,Goelands
Go_Go30,Goelands
Go_Go31,Goelands
Go_Go32,Goelands
Go_Go33,Goelands
Go_Go34,Goelands
Go_Go35,Goelands
Go_Go36,Goelands
Go_Go37,Goelands
Go_Go38,Goelands
Go_Go39,Goelands
Go_Go40,Goelands
Go_Go41,Goelands
Go_Go42,Goelands
Go_Go43,Goelands
Go_Go44,Goelands
Go_Go45,Goelands
Go_Go46,Goelands
Go_Go47,Goelands
Go_Go48,Goelands
Go_Go49,Goelands
Go_Go50,Goelands
Go_Go51,Goelands
Go_Go52,Goelands
Go_Go53,Goelands
Go_Go54,Goelands
Go_Go55,Goelands
Go_Go56,Goelands
Hie_Hie2,Hiengabat
Hie_Hie3,Hiengabat
Hie_Hie4,Hiengabat
Hie_Hie5,Hiengabat
Hie_Hie6,Hiengabat
Hie_Hie7,Hiengabat
Hie_Hie8,Hiengabat
Hie_Hie9,Hiengabat
Hie_Hie11,Hiengabat
Hie_Hie12,Hiengabat
Hie_Hie13,Hiengabat
Hie_Hie14,Hiengabat
Hie_Hie15,Hiengabat
Hie_Hie16,Hiengabat
Hie_Hie17,Hiengabat
Hie_Hie18,Hiengabat
Hie_Hie19,Hiengabat
Hie_Hie20,Hiengabat
Hie_Hie21,Hiengabat
Hie_Hie22,Hiengabat
Hie_Hie23,Hiengabat
Hie_Hie24,Hiengabat
Hie_Hie25,Hiengabat
Hie_Hie26,Hiengabat
Hie_Hie27,Hiengabat
Hie_Hie28,Hiengabat
Hie_Hie29,Hiengabat
Hie_Hie30,Hiengabat
Hie_Hie31,Hiengabat
Hie_Hie32,Hiengabat
Hie_Hie33,Hiengabat
Hie_Hie34,Hiengabat
Hie_Hie35,Hiengabat
Hie_Hie36,Hiengabat
Hie_Hie37,Hiengabat
Hie_Hie38,Hiengabat
Hie_Hie39,Hiengabat
Hie_Hie40,Hiengabat
Hie_Hie41,Hiengabat
Hie_Hie42,Hiengabat
Hie_Hie43,Hiengabat
Hie_Hie44,Hiengabat
Hie_Hie45,Hiengabat
Hie_Hie46,Hiengabat
Hie_Hie47,Hiengabat
Hie_Hie48,Hiengabat
Hie_Hie49,Hiengabat
Lar_Lar1,Laregnere
Lar_Lar2,Laregnere
Lar_Lar3,Laregnere
Lar_Lar4,Laregnere
Lar_Lar5,Laregnere
Lar_Lar6,Laregnere
Lar_Lar7,Laregnere
Lar_Lar8,Laregnere
Lar_Lar10,Laregnere
Lar_Lar11,Laregnere
Lar_Lar12,Laregnere
Lar_Lar14,Laregnere
Lar_Lar15,Laregnere
Lar_Lar16,Laregnere
Lar_Lar17,Laregnere
Lar_Lar18,Laregnere
Lar_Lar19,Laregnere
Lar_Lar20,Laregnere
Lar_Lar21,Laregnere
Lar_Lar22,Laregnere
Lar_Lar23,Laregnere
Lar_Lar24,Laregnere
Lar_Lar25,Laregnere
Lar_Lar26,Laregnere
Lar_Lar27,Laregnere
Lar_Lar28,Laregnere
Lar_Lar29,Laregnere
Lar_Lar30,Laregnere
Lar_Lar31,Laregnere
Lar_Lar32,Laregnere
Lar_Lar33,Laregnere
Lar_Lar34,Laregnere
Lar_Lar35,Laregnere
Lar_Lar36,Laregnere
Lar_Lar37,Laregnere
Lar_Lar38,Laregnere
Lar_Lar39,Laregnere
Lar_Lar40,Laregnere
Lar_Lar41,Laregnere
Lar_Lar42,Laregnere
Lar_Lar43,Laregnere
Lar_Lar44,Laregnere
Lar_Lar45,Laregnere
Lar_Lar46,Laregnere
Lar_Lar47,Laregnere
Lar_Lar48,Laregnere
Lar_Lar49,Laregnere
