loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
8	1358	1	5	-58275.74	0.151657508881943	-58275.8916575089	-58275.5883424911	NA	NA	NA	NA	NA	NA	NA
8	1358	2	5	-56178.92	9.95650541103699	-56188.876505411	-56168.963494589	2096.82	2106.62484790215	2087.01515209784	1463.72	1528.77027324827	1398.66972675174	147.011420129139
8	1358	3	5	-55545.82	84.8116265614561	-55630.6316265615	-55461.0083734385	633.099999999999	707.955121150418	558.244878849579	545.839999999997	582.052564321845	509.627435678148	6.43591005302169
8	1358	4	5	-55458.56	46.1690697328856	-55504.7290697329	-55412.3909302671	87.260000000002	125.902556828572	48.6174431714316	58.8800000000047	90.563725277154	27.1962747228553	1.27531267882717
8	1358	5	5	-55430.18	116.495351838605	-55546.6753518386	-55313.6846481614	28.3799999999974	98.7062821057172	-41.9462821057224	611.82	1091.54370734912	132.096292650879	5.25188336138617
8	1358	6	5	-56013.62	666.545341293446	-56680.1653412934	-55347.0746587066	-583.440000000002	-33.3900105451613	-1133.48998945484	834.780000000006	989.814355560055	679.745644439957	1.25239792146787
8	1358	7	5	-55762.28	271.529707398654	-56033.8097073987	-55490.7502926013	251.340000000004	646.355633894796	-143.675633894788	308.000000000007	596.358359761831	19.6416402381831	1.13431418959918
8	1358	8	5	-55818.94	378.186981531622	-56197.1269815316	-55440.7530184684	-56.6600000000035	49.9972741329646	-163.317274132972	167.180000000008	244.573188095473	89.7868119045421	0.442056464564021
8	1358	9	5	-55708.42	348.92289549412	-56057.3428954941	-55359.4971045059	110.520000000004	139.784086037507	81.2559139625014	409.620000000003	533.060292447776	286.179707552229	1.17395563687481
8	1358	10	5	-56007.52	501.627273979396	-56509.1472739794	-55505.8927260206	-299.099999999999	-146.395621514722	-451.804378485275	NA	NA	NA	NA
